generator	mix_rate	frames	peak_abs	clipped_samples	dc_offset	status
create_station29_grate_creak_sound	44100	46305	0.573700	0	0.002324	PASS
create_transformer_oil_hum_sound	44100	79380	0.645477	0	0.001390	PASS
create_knife_switch_throw_sound	44100	39690	0.540710	0	0.000554	PASS
create_high_voltage_spark_sound	44100	17640	0.674683	0	0.000132	PASS
create_power_grid_relay_sound	44100	30869	0.304901	0	0.000217	PASS
create_station30_door_release_sound	44100	48510	0.668701	0	0.000518	PASS
create_eleven_chairs_whisper_sound	44100	70560	0.621704	0	-0.000000	PASS
create_wierzbicka_recitation_chime_sound	44100	52920	0.692841	0	0.000121	PASS
create_twelfth_chair_resonance_sound	44100	61739	0.367462	0	-0.000005	PASS
create_variant_ledger_page_sound	44100	28665	0.342987	0	0.000542	PASS
create_station31_pressure_hiss_sound	44100	55125	0.479370	0	0.000001	PASS
create_glass_condensation_wipe_sound	44100	33075	0.491669	0	-0.003282	PASS
create_glass_stress_ring_sound	44100	57330	0.548828	0	-0.000001	PASS
create_fire_memory_rumble_sound	44100	66150	0.679657	0	-0.000965	PASS
create_consensus_stamp_reverberation_sound	44100	48510	0.695770	0	0.000395	PASS
create_station32_hatch_unseal_sound	44100	44100	0.556427	0	0.000517	PASS
create_ladder_rung_climb_sound	44100	28665	0.578735	0	0.000529	PASS
create_depth_pressure_creak_sound	44100	61739	0.693237	0	-0.007233	PASS
create_cable_trunk_pulse_sound	44100	52920	0.684204	0	-0.000000	PASS
create_shaft_work_light_hum_sound	44100	39690	0.565918	0	0.001555	PASS
create_station33_lower_hatch_sound	44100	59535	0.632263	0	0.000555	PASS
create_core_reactor_pulse_sound	44100	61739	0.631561	0	-0.000014	PASS
create_biography_slider_drag_sound	44100	28665	0.399689	0	0.000105	PASS
create_core_thermal_alarm_sound	44100	37485	0.525238	0	-0.003750	PASS
create_jakub_diagnostic_probe_sound	44100	19845	0.545654	0	0.000072	PASS
create_station34_filtration_gate_sound	44100	66150	0.636047	0	0.000263	PASS
create_sedation_liquid_slosh_sound	44100	57330	0.578857	0	-0.000524	PASS
create_sludge_valve_creak_sound	44100	41895	0.610413	0	0.000207	PASS
create_chemical_bubbler_sound	44100	30869	0.523071	0	-0.000382	PASS
create_sedation_saturation_alarm_sound	44100	35280	0.606384	0	0.000212	PASS
create_station35_drain_sluice_sound	44100	63945	0.625305	0	0.000212	PASS
create_storm_drain_torrent_sound	44100	70560	0.678284	0	0.000811	PASS
