generator	call_status	mix_rate	frames	peak_abs	clipped_samples	dc_offset	loop_mode	seam_delta	status
create_magnetic_resonance_hum_sound	CALLED	44100	59535	0.871704	0	0.000004	0	0.000000	PASS
create_barkhausen_noise_sound	CALLED	44100	37485	0.464417	0	0.025513	0	0.004456	PASS
create_llg_precession_whistle_sound	CALLED	44100	48510	0.580811	0	0.000007	0	0.006927	PASS
create_ferrimagnetic_switch_sound	CALLED	44100	26460	0.562958	0	0.000015	0	0.000000	PASS
create_onsager_thermoelectric_whistle_sound	CALLED	44100	55125	0.751587	0	-0.001438	0	0.000000	PASS
create_entropy_production_pulse_sound	CALLED	44100	41895	0.534637	0	0.000066	0	0.003876	PASS
create_prigogine_relaxation_snap_sound	CALLED	44100	30869	0.400909	0	-0.000065	0	0.000000	PASS
create_thermal_fluctuation_noise_sound	CALLED	44100	50714	0.665344	0	-0.000802	0	0.000031	PASS
create_quantum_vacuum_whistle_sound	CALLED	44100	52920	0.733490	0	-0.001484	0	0.000000	PASS
create_casimir_cavity_hiss_sound	CALLED	44100	46305	0.768982	0	0.000006	0	0.002533	PASS
create_negative_energy_pulse_sound	CALLED	44100	57330	0.707977	0	0.000014	0	0.000031	PASS
create_lifshitz_retarded_snap_sound	CALLED	44100	28665	0.652252	0	0.000007	0	0.000000	PASS
create_cooling_chamber_drone_sound	CALLED	44100	79380	0.708344	0	-0.000029	0	0.000000	PASS
create_high_voltage_hum_sound	CALLED	44100	66150	0.707642	0	-0.000002	0	0.000000	PASS
create_hydraulic_echo_sound	CALLED	44100	61739	0.733154	0	0.000613	0	0.005249	PASS
create_substructure_ambient_sound	CALLED	44100	97020	0.639252	0	-0.000214	0	0.000000	PASS
create_finale_42a_forced_return_sound	CALLED	44100	79380	0.496735	0	-0.000025	0	0.000214	PASS
create_finale_42b_closure_sound	CALLED	44100	97020	0.839233	0	-0.000000	0	0.000000	PASS
create_finale_42c_reciprocal_passage_sound	CALLED	44100	105840	0.777527	0	-0.000000	0	0.000000	PASS
create_unease_tinnitus_sound	CALLED	44100	52920	0.909637	0	0.007565	0	0.000000	PASS
create_residential_ambience_sound	CALLED	44100	88200	0.723999	0	-0.000001	0	0.000000	PASS
create_terminal_hum_sound	CALLED	44100	70560	0.805908	0	-0.000000	0	0.000000	PASS
create_tunnel_rumble_sound	CALLED	44100	88200	0.591766	0	-0.000001	0	0.000000	PASS
create_dawn_quietude_sound	CALLED	44100	110250	0.728363	0	0.000005	0	0.000000	PASS
create_footstep_terrazzo_sound	CALLED	44100	3528	0.555695	0	0.000714	0	0.012054	PASS
create_footstep_wet_asphalt_sound	CALLED	44100	3528	0.275940	0	-0.000447	0	0.003296	PASS
create_footstep_steel_grating_sound	CALLED	44100	3969	0.514618	0	0.000137	0	0.003052	PASS
create_footstep_hollow_deck_sound	CALLED	44100	3528	0.649841	0	0.003763	0	0.023956	PASS
create_surface_land_sound	NOT_APPLICABLE_REQUIRED_ARGS	-	-	-	-	-	-	-	NOT_APPLICABLE
create_dialogue_lena_blip_sound	CALLED	44100	2205	0.478943	0	0.000842	0	0.002197	PASS
create_dialogue_wierzbicka_blip_sound	CALLED	44100	2646	0.575043	0	0.000038	0	0.009705	PASS
create_dialogue_system_blip_sound	CALLED	44100	1984	0.498993	0	0.002237	0	0.007385	PASS
create_dialogue_blip_for_speaker	NOT_APPLICABLE_REQUIRED_ARGS	-	-	-	-	-	-	-	NOT_APPLICABLE
create_act1_fluorescent_ballast_hum_sound	CALLED	44100	79380	0.584320	0	-0.000006	0	0.000000	PASS
create_act1_rain_ambience_sound	CALLED	44100	88200	0.445221	0	-0.000000	0	0.000000	PASS
create_bakelite_telephone_ring_sound	CALLED	44100	26460	0.747589	0	0.000021	0	0.000214	PASS
create_institutional_hvac_ambient_sound	CALLED	44100	97020	0.616730	0	0.000001	0	0.000000	PASS
