surface	mode	path	driver	width	height	md5	mean_luma
station_16	normal	reports/pkg_0185/visual/station_16__normal.png	Windows	640	360	d1bbc5f6e01a8a27e39aa531c7b4be32	0.1522
station_17	opening_panel	reports/pkg_0185/visual/station_17__opening_panel.png	Windows	640	360	daf41c868ddd5a6f2c331e60387de07a	0.1654
station_17	normal	reports/pkg_0185/visual/station_17__normal.png	Windows	640	360	c8d967f93239903cff258f0c942dcf19	0.1648
station_18	opening_panel	reports/pkg_0185/visual/station_18__opening_panel.png	Windows	640	360	64192b861632c3ee3a3d7e8f697004d1	0.1397
station_18	normal	reports/pkg_0185/visual/station_18__normal.png	Windows	640	360	a6ac68c1950d8df219a9f73c0fb3b6b2	0.1652
station_42a	opening_panel	reports/pkg_0185/visual/station_42a__opening_panel.png	Windows	640	360	9c4f82779c49d73dcf41eb02b9a03a5c	0.1650
station_42a	normal	reports/pkg_0185/visual/station_42a__normal.png	Windows	640	360	0bfe213eb69c3db0837586717b121be3	0.1887
station_42b	opening_panel	reports/pkg_0185/visual/station_42b__opening_panel.png	Windows	640	360	053ed49d150e3784c6284dbbb7a0e910	0.1679
station_42b	normal	reports/pkg_0185/visual/station_42b__normal.png	Windows	640	360	362fc9e3ca92594ee73245c95211801f	0.1932
station_42b	npc_frame	reports/pkg_0185/visual/station_42b__npc_frame.png	Windows	640	360	0ffbbb080ebc7853f5b4a41340958e20	0.1922
station_42c	opening_panel	reports/pkg_0185/visual/station_42c__opening_panel.png	Windows	640	360	29b5f7cd9ec7d436ddea955b64bc221d	0.1680
station_42c	normal	reports/pkg_0185/visual/station_42c__normal.png	Windows	640	360	a67a9ee7ab4610bd79d4d2b1542a1677	0.1921
station_42c	npc_frame	reports/pkg_0185/visual/station_42c__npc_frame.png	Windows	640	360	d558025796912144b51a2d0412b7dee0	0.1933
station_43	opening_panel	reports/pkg_0185/visual/station_43__opening_panel.png	Windows	640	360	c131dbd1e87b6d8118795110a5d1ab2f	0.1394
station_43	normal	reports/pkg_0185/visual/station_43__normal.png	Windows	640	360	8c450ef108683cc3cd0b63f8a9e1739e	0.1510
panel_portrait	lena	reports/pkg_0185/visual/panel_portrait__lena.png	Windows	640	360	f2234de2f858aaec8ac76f33595554e2	0.3149
panel_portrait	marta	reports/pkg_0185/visual/panel_portrait__marta.png	Windows	640	360	7e3114e03203975546beb8dfbe11a612	0.3241
panel_portrait	jakub	reports/pkg_0185/visual/panel_portrait__jakub.png	Windows	640	360	2f8448e0f1a93fec91f42787a8b19ac3	0.3184
panel_portrait	wierzbicka	reports/pkg_0185/visual/panel_portrait__wierzbicka.png	Windows	640	360	0b3aa8cdca0cb635317ee4e50359f2e5	0.3193
panel_portrait	szymon	reports/pkg_0185/visual/panel_portrait__szymon.png	Windows	640	360	3fa2017d2872ce414f39a90b31c0427d	0.3261
panel_thought	lena	reports/pkg_0185/visual/panel_thought__lena.png	Windows	640	360	87030e7272b457cff77cb691eece97d4	0.2976
panel_dialogue	marta_then_lena	reports/pkg_0185/visual/panel_dialogue__marta_then_lena.png	Windows	640	360	022e2dac07ff3e240aa623201fbe1adf	0.3250
