generator	call_status	mix_rate	frames	peak_abs	clipped_samples	dc_offset	loop_mode	seam_delta	status
create_jakub_destabilization_hum_sound	CALLED	44100	48510	0.619293	0	0.000161	0	0.000885	PASS
create_rescue_tether_chime_sound	CALLED	44100	55125	0.650269	0	0.000025	0	0.018799	PASS
create_coordinate_calculator_click_sound	CALLED	44100	16758	0.668671	0	0.000332	0	0.000183	PASS
create_station38_reference_vault_door_sound	CALLED	44100	72765	0.643616	0	-0.002048	0	0.026886	PASS
create_reference_core_harmonics_sound	CALLED	44100	97020	0.615662	0	0.000000	0	0.000000	PASS
create_branch_configuration_a_sound	CALLED	44100	61739	0.545990	0	0.000005	0	0.004181	PASS
create_branch_configuration_b_sound	CALLED	44100	66150	0.647583	0	-0.000005	0	0.011749	PASS
create_branch_configuration_c_sound	CALLED	44100	79380	0.633026	0	-0.000288	0	0.003265	PASS
create_station39_act4_gateway_sound	CALLED	44100	83790	0.670685	0	0.001244	0	0.000122	PASS
create_wierzbicka_personal_terminal_sound	CALLED	44100	66150	0.618011	0	-0.000007	0	0.001953	PASS
create_marta_witness_presence_sound	CALLED	44100	70560	0.578705	0	0.000010	0	0.005035	PASS
create_szymon_transmission_feed_sound	CALLED	44100	61739	0.561646	0	-0.000009	0	0.007446	PASS
create_cost_dossier_matrix_sound	CALLED	44100	57330	0.693604	0	-0.000003	0	0.001892	PASS
create_station40_final_chamber_gate_sound	CALLED	44100	79380	0.636444	0	0.005546	0	0.030640	PASS
create_operation_return_execution_sound	CALLED	44100	61739	0.600311	0	-0.000005	0	0.005096	PASS
create_operation_reconciliation_execution_sound	CALLED	44100	61739	0.694427	0	-0.000004	0	0.006409	PASS
create_operation_testimony_execution_sound	CALLED	44100	70560	0.599396	0	0.001455	0	0.004486	PASS
create_operation_console_engage_sound	CALLED	44100	39690	0.693359	0	-0.000087	0	0.001282	PASS
create_station41_act4_resolution_gate_sound	CALLED	44100	79380	0.688751	0	-0.004112	0	0.000549	PASS
create_epilogue_radio_announcement_sound	CALLED	44100	97020	0.489044	0	-0.000007	0	0.017426	PASS
create_epilogue_cup_clink_sound	CALLED	44100	28665	0.684448	0	0.000042	0	0.000000	PASS
create_epilogue_tram_switch_latch_sound	CALLED	44100	52920	0.670471	0	-0.000021	0	0.000549	PASS
create_epilogue_credits_drone_sound	CALLED	44100	110250	0.519836	0	0.000000	0	0.000000	PASS
create_epilogue_final_carrier_sound	CALLED	44100	66150	0.566223	0	-0.000480	0	0.000000	PASS
create_magnetic_resonance_hum_sound	CALLED	44100	59535	0.660095	0	0.000004	0	0.000000	PASS
create_barkhausen_noise_sound	CALLED	44100	37485	0.407654	0	0.023800	0	0.004181	PASS
create_llg_precession_whistle_sound	CALLED	44100	48510	0.491852	0	0.000002	0	0.006500	PASS
create_ferrimagnetic_switch_sound	CALLED	44100	26460	0.479553	0	0.000016	0	0.000000	PASS
create_onsager_thermoelectric_whistle_sound	CALLED	44100	55125	0.597931	0	-0.001266	0	0.000000	PASS
create_entropy_production_pulse_sound	CALLED	44100	41895	0.459564	0	0.000074	0	0.003662	PASS
create_prigogine_relaxation_snap_sound	CALLED	44100	30869	0.357880	0	-0.000055	0	0.000000	PASS
create_thermal_fluctuation_noise_sound	CALLED	44100	50714	0.546967	0	-0.000703	0	0.000031	PASS
create_quantum_vacuum_whistle_sound	CALLED	44100	52920	0.587677	0	-0.001356	0	0.000000	PASS
create_casimir_cavity_hiss_sound	CALLED	44100	46305	0.607544	0	0.000006	0	0.002380	PASS
create_negative_energy_pulse_sound	CALLED	44100	57330	0.572815	0	0.000013	0	0.000031	PASS
create_lifshitz_retarded_snap_sound	CALLED	44100	28665	0.538788	0	0.000007	0	0.000000	PASS
create_cooling_chamber_drone_sound	CALLED	44100	79380	0.573059	0	-0.000028	0	0.000000	PASS
create_high_voltage_hum_sound	CALLED	44100	66150	0.572632	0	-0.000002	0	0.000000	PASS
create_hydraulic_echo_sound	CALLED	44100	61739	0.587463	0	0.000433	0	0.004944	PASS
create_substructure_ambient_sound	CALLED	44100	97020	0.530518	0	-0.000221	0	0.000000	PASS
create_finale_42a_forced_return_sound	CALLED	44100	79380	0.431976	0	-0.000023	0	0.000183	PASS
create_finale_42b_closure_sound	CALLED	44100	97020	0.644257	0	0.000038	0	0.000000	PASS
create_finale_42c_reciprocal_passage_sound	CALLED	44100	105840	0.777527	0	-0.000000	0	0.000000	PASS
create_unease_tinnitus_sound	CALLED	44100	52920	0.677673	0	0.006515	0	0.000000	PASS
create_residential_ambience_sound	CALLED	44100	88200	0.582214	0	-0.000001	0	0.000000	PASS
create_terminal_hum_sound	CALLED	44100	70560	0.627289	0	-0.000000	0	0.000000	PASS
create_tunnel_rumble_sound	CALLED	44100	88200	0.499268	0	-0.000001	0	0.000000	PASS
create_dawn_quietude_sound	CALLED	44100	110250	0.728363	0	0.000005	0	0.000000	PASS
create_footstep_terrazzo_sound	CALLED	44100	3528	0.474487	0	0.000972	0	0.011322	PASS
create_footstep_wet_asphalt_sound	CALLED	44100	3528	0.252991	0	-0.000467	0	0.003113	PASS
create_footstep_steel_grating_sound	CALLED	44100	3969	0.445129	0	0.000145	0	0.002869	PASS
create_footstep_hollow_deck_sound	CALLED	44100	3528	0.537262	0	0.003804	0	0.022522	PASS
create_surface_land_sound	NOT_APPLICABLE_REQUIRED_ARGS	-	-	-	-	-	-	-	NOT_APPLICABLE
create_dialogue_lena_blip_sound	CALLED	44100	2205	0.418671	0	0.000848	0	0.002045	PASS
create_dialogue_wierzbicka_blip_sound	CALLED	44100	2646	0.487915	0	0.000101	0	0.009125	PASS
create_dialogue_system_blip_sound	CALLED	44100	1984	0.433655	0	0.002048	0	0.006958	PASS
create_dialogue_blip_for_speaker	NOT_APPLICABLE_REQUIRED_ARGS	-	-	-	-	-	-	-	NOT_APPLICABLE
create_act1_fluorescent_ballast_hum_sound	CALLED	44100	79380	0.494232	0	-0.000006	0	0.000000	PASS
create_act1_rain_ambience_sound	CALLED	44100	88200	0.392883	0	-0.000000	0	0.000000	PASS
create_bakelite_telephone_ring_sound	CALLED	44100	26460	0.595673	0	0.000010	0	0.000214	PASS
create_institutional_hvac_ambient_sound	CALLED	44100	97020	0.515900	0	0.000001	0	0.000000	PASS
create_linoleum_corridor_resonance_sound	CALLED	44100	88200	0.549896	0	-0.000000	0	0.000000	PASS
create_teletype_relay_ambience_sound	CALLED	44100	79380	0.518341	0	0.000134	0	0.000000	PASS
create_magnetic_latch_sterile_sound	CALLED	44100	9702	0.637207	0	0.000898	0	0.000000	PASS
create_transformer_infrasound_sound	CALLED	44100	97020	0.535248	0	-0.000003	0	0.000000	PASS
create_shaft_water_drip_echo_sound	CALLED	44100	88200	0.522949	0	0.000009	0	0.000000	PASS
create_tempered_glass_resonance_sound	CALLED	44100	79380	0.614655	0	0.000081	0	0.000000	PASS
create_riveted_catwalk_creak_sound	CALLED	44100	83790	0.544891	0	0.000001	0	0.000000	PASS
create_correction_tension_swell_sound	CALLED	44100	105840	0.561737	0	-0.009395	0	0.000000	PASS
create_tri_path_resonance_sound	CALLED	44100	110250	0.681824	0	-0.000000	0	0.000000	PASS
create_anchor_grip_sound	CALLED	44100	4851	0.156189	0	0.000267	0	0.000000	PASS
create_anchor_sustain_tone_sound	CALLED	44100	52920	0.342438	0	0.000088	1	0.054077	PASS
create_anchor_release_sound	CALLED	44100	14994	0.427429	0	-0.002931	0	0.000000	PASS
create_yield_collapse_sound	CALLED	44100	20286	0.374298	0	-0.000682	0	0.012146	PASS
create_prop_drag_scrape_sound	CALLED	44100	35280	0.377716	0	0.000544	1	0.196045	PASS
create_contact_tap_sound	CALLED	44100	1984	0.175293	0	-0.003281	0	0.000000	PASS
create_switch_detent_sound	CALLED	44100	3748	0.329224	0	-0.005967	0	0.000244	PASS
create_probe_brush_sound	CALLED	44100	7056	0.162170	0	-0.000001	0	0.000031	PASS
create_outdoor_viaduct_wind_sound	CALLED	44100	97020	0.523163	0	0.000614	1	0.028931	PASS
create_outdoor_perimeter_wind_sound	CALLED	44100	105840	0.524200	0	0.000770	1	0.269928	PASS
create_subterranean_substation_resonance_sound	CALLED	44100	97020	0.710327	0	0.000667	1	0.210297	PASS
create_signal_vault_resonance_sound	CALLED	44100	101429	0.558777	0	0.000957	1	0.138947	PASS
create_analyzer_cooling_conduit_drone_sound	CALLED	44100	97020	0.547424	0	0.000755	1	0.337646	PASS
create_archive_ledger_resonance_sound	CALLED	44100	92610	0.540894	0	0.000438	1	0.328400	PASS
create_dawn_river_ambience_sound	CALLED	44100	114660	0.690979	0	0.000294	1	0.227783	PASS
